german;
Scherschneiden;Shearing
abschneiden;Cutting
Durchlaufschere;Continuous shears
Schutzausrüstung, persönlich;Personal protective equipment
Arbeitshandschuh;Work gloves
Arbeitshelm;Safety helmet
Arbeitsschuh;Work shoes
Schutzhelm;Safety helmet
Sicherheitsschuh;Safety shoes
Schutzhandschuh;Protective gloves
Gehörschützer;Ear protection
Ohrenschützer;Ear protectors
Schweißerschutzbrille;Welding goggles
Atemmaske;Respirator
Mundschutzmaske;Face mask
Schutzbrille;Safety glasses
Schweißerbrille;Welding goggles
Flamme, offen;Open flame
Gefahrlosigkeit;Safe
kein Trinkwasser;No drinking water
Rettung;Rescue
Brandschutz;Fire protection
Feuer verboten;No smoking
Fußgänger verboten;No pedestrians
Gebot;Requirement
Rauchen verboten;No smoking
Verbot;Prohibition
Verbotszeichen, allgemein;Prohibition sign, general
Warnung;Warning
Abstellen verboten;No parking
Flurförderzeuge verboten;Industrial trucks prohibited
Last: keine schwere Last;Load: no heavy loads
Mobiltelefon verboten;No cell phones
Aufsteigen verboten;No climbing
Aufzug im Brandfall nicht benutzen;Do not use the elevator in case of fire
Berühren verboten;Do not touch
Essen und Trinken verboten;No eating or drinking
Hineinfassen verboten;Do not reach inside
mit Wasser löschen verboten;Do not extinguish with water
Fotografieren verboten;No photography
handgeführte(s) Schleifen verboten;No hand-held grinding
Schalten verboten;Shifting prohibited
Seitenschleifen verboten;Side grinding prohibited
Treten hinter den Schwenkarm verboten;No stepping behind the swing arm
Unbefugte, kein Zutritt;Unauthorized persons, no entry
Benutzen von Handschuhen verboten;Use of gloves prohibited
Besteigen für Unbefugte verboten;Unauthorized persons prohibited from climbing
Betreten der Fläche verboten;No entry to this area
Personenbeförderung verboten;Transportation of persons prohibited
Anleitung beachten;Follow instructions
Augenschutz benutzen;Wear eye protection
erden, vor Benutzung;Ground the unit before use
Fußschutz benutzen;Wear foot protection
Gebotszeichen, allgemein;Mandatory sign, general
Gehörschutz benutzen;Use hearing protection
Handschutz benutzen;Use hand protection
Netzstecker ziehen;Unplug the power cord
Schutzkleidung benutzen;Wear protective clothing
Atemschutz benutzen;Use respiratory protection
Auffanggurt benutzen;Use a safety harness
Rückhaltesystem benutzen;Use a fall arrest system
freischalten, vor Wartung oder Reparatur;Disconnect power before maintenance or repair
Gesichtsschutz benutzen;Use face protection
Hände waschen;Wash hands
Kopfschutz benutzen;Use head protection
Maske benutzen;Use a mask
Schweißmaske benutzen;Use a welding mask
Warnweste benutzen;Wear a high-visibility vest
Fußgängerweg benutzen;Use the sidewalk
Handcreme benutzen;Use hand cream
Hautschutzmittel benutzen;Use skin protection
Stoffe, explosionsgefährlich;Substances, explosive
Übergang benutzen;Use the crosswalk
Warnzeichen, allgemein;Warning sign, general
Fußgängerüberweg benutzen;Use crosswalk
Laserstrahlen;Laser beams
Schutzschürze benutzen;Use protective apron
Sperren;Barriers
Stoff, radioaktiv;Radioactive material
Strahlung, ionisierend;Ionizing radiation
Strahlung, nicht ionisierend;Non-ionizing radiation
Absturzgefahr;Risk of falling
Biogefährdung;Biological hazard
Flurförderfahrzeug;Industrial truck
Hindernis am Boden;Obstacle on the ground
Last, schwebend;Suspended load
Frost, niedrige Temperatur;Frost, low temperature
Feld, magnetisch;Magnetic field
Frost;Frost
Magnetfeld;Magnetic field
Rutschgefahr;Slip hazard
Stoff, giftig;Toxic substance
Spannung,elektrisch;Electrical voltage
Anlauf, automatisch;Automatic start
explosionsfähige Atmosphäre;Explosive atmosphere
Gasflasche;Gas cylinder
Handverletzung;Hand injury
Hindernis im Kopfbereich;Obstacle in the head area
Quetschgefahr;Risk of crushing
Stoff, ätzend;Corrosive substance
Stoff, brandfördernd;Substance, oxidizing
Stoff, feuergefährlich;Substance, flammable
Strahlung, optisch;Optical radiation
AED (Automatisierter Externer Defibrillator);AED (Automated External Defibrillator)
Arzt;Doctor
Augendusche;Eye wash
Augenspüleinrichtung;Eye wash station
Doktor;Doctor
Erste Hilfe;First aid
Notausgangsvorrichtung;Emergency exit device
Notdusche;Emergency shower
Notruftelefon;Emergency telephone
Sammelstelle;Assembly point
Notausstieg mit Fluchtleiter;Emergency exit with escape ladder
Öffnen durch Rechtsdrehung;Open by turning clockwise
Rettungsausrüstung, öffentlich;Rescue equipment, public
Krankentrage;Stretcher
Notausgang rechts;Emergency exit on the right
Notausstieg;Emergency exit
Rettungsausstieg;Emergency exit
Brandbekämpfung, Mittel und Gerät;Firefighting, equipment and tools
Brandmeldetelefon;Fire alarm telephone
Feuerleiter;Fire escape
Brandmelder;Fire alarm
Kombinationszeichen;Combination symbol
Feuerlöscher;Fire extinguisher
Feuermelder;Fire alarm
Löschschlauch;Fire hose
ätzend;Corrosive
gesundheitsschädigend;harmful to health
gesundheitsgefährdend;harmful to health
giftig;toxic
hochentzündlich;highly flammable
Flucht- und Rettungsplan;Evacuation and Rescue Plan
Erste Hilfe, Anleitung;First aid, instructions
Betriebsanleitung (Leiter);Operating instructions (ladder)
Betriebsanweisung (Gefahrstoffe);Operating instructions (hazardous substances)
Aluleiter;Aluminum ladder
Aluminiumleiter;Aluminum ladder
Anlegeleiter;Single ladder
Ausziehleiter;Extendable ladder
Leiter anlegen;Setting up a ladder
rutschfest;non-slip
Spreizsicherung;Anti-spread device
Stehleiter;Step ladder
Bordbrett;Step board
Geländerholm;Handrail
Gerüst auf Rollen;Scaffold on casters
Zwischenholm;Crossbar
Gerüst;Scaffold
Kleingerüst;Small scaffold
Spannmutter;Tension nut
Zahnteilung;Tooth pitch
Handbügelsäge;Hand-held hacksaw
Sägeblatt;Saw blade
sägen;Sawing
Schraubstock;Vise
Stichsäge;Jigsaw
Zahn;Tooth
Hubsägemaschine;Jig saw
Kapp- und Gehrungssäge;Mitre saw
Kreissäge;Circular saw
Kreissägemaschine;Circular saw
Rohrsäge;Pipe saw
bohren;Drilling
aufbohren;Reaming
vorbohren;pre-drilling
kernbohren;core drilling
Bohrer;Drill
Bohrertyp;Drill type
H - harte Werkstoffe;H - hard materials
N - normale Werkstoffe;N - normal materials
Schneidteil;Cutting edge
Zylinderschaft;Cylindrical shank
Spanwinkel;Cutting angle
Spiralbohrer;Twist drill
Spitzenlänge;Tip length
Spitzenwinkel;Point angle
W - weiche Werkstoffe;W - soft materials
Betonbohrer;Concrete drill bit
Blechbohrer;Sheet metal drill
Holz- und Kunststoffbohrer;Wood and plastic drill bits
HSS-Bohrer;HSS drill bits
Schälbohrer;Fluted drill bits
Steinbohrer;Stone drill bits
Metallbohrer;Metal drill bits
Akkubohrhammer;Cordless hammer drill
Bohrhammer;Hammer drill
Bohrkrone;Core drill
Kernbohrmaschine;Core drill
Schlagbohrmaschine;Impact drill
Säulenbohrmaschine;Column drill
